"NT","DIST_MID_POINT","TOTAL_ENC_CNT"
"1","1.11","18482"
"2","2.73","4626"
"3","3.56","4358"
"4","4.23","8521"
"5","4.75","3898"
"6","5.37","4401"
"7","5.86","3380"
"8","6.29","3027"
"9","6.87","5010"
"10","7.42","6038"
"11","7.9","3092"
"12","8.38","2905"
"13","8.89","1529"
"14","9.52","1936"
"15","10.08","2283"
"16","10.51","1757"
"17","10.88","1777"
"18","11.42","1615"
"19","11.95","1325"
"20","12.38","1812"
"21","12.87","1203"
"22","13.42","1251"
"23","14.03","1065"
"24","14.64","1059"
"25","15.19","1643"
"26","15.66","1039"
"27","16.14","575"
"28","16.68","760"
"29","17.16","476"
"30","17.57","556"
"31","17.98","757"
"32","18.44","700"
"33","18.9","610"
"34","19.35","392"
"35","19.78","610"
"36","20.28","599"
"37","20.7","758"
"38","21.16","496"
"39","21.74","572"
"40","22.39","591"
"41","22.96","490"
"42","23.41","383"
"43","23.84","419"
"44","24.41","330"
"45","25","424"
"46","25.6","538"
"47","26.17","478"
"48","26.77","418"
"49","27.44","294"
"50","28.05","243"
"51","28.54","337"
"52","29.15","388"
"53","29.84","382"
"54","30.47","272"
"55","30.93","259"
"56","31.41","263"
"57","32.06","267"
"58","32.68","208"
"59","33.32","274"
"60","34.1","193"
"61","34.99","202"
"62","35.76","178"
"63","36.35","193"
"64","36.96","294"
"65","37.59","184"
"66","38.35","177"
"67","39.33","220"
"68","40.37","133"
"69","41.37","168"
"70","42.34","154"
"71","43.28","105"
"72","44.44","260"
"73","45.91","138"
"74","47.22","193"
"75","48.56","131"
"76","50.06","79"
"77","51.84","176"
"78","53.78","136"
"79","55.58","124"
"80","57.64","174"
"81","60.15","130"
"82","62.81","193"
"83","65.55","168"
"84","68.57","127"
"85","72.15","97"
"86","76.12","102"
"87","81.47","66"
"88","88.26","66"
"89","95.77","66"
"90","103.17","109"
"91","115.68","50"
"92","128.73","57"
"93","147.62","109"
"94","194.46","71"
"95","306.56","74"
"96","682.49","83"
"97","1284.23","79"
"98","1798.81","64"
"99","2823.88","106"
"100","5910.4","74"
